Unnamed: 0,Act. Pop.,Constant,J,Length,Us,V,V2,V3,atom,energy,error,esterm,functional,spin,t,Method,Excitation
193,9.8556352208,1.0,0.577657833641,1.5,1.41387597889,13.1716819822,13.8238508736,13.9059857283,H,-4.942998986,0.003983809609,9.8556352208,pbe,Spin: 0,6.74727442139,uks,doubles
194,9.8499316866,1.0,0.540623968865,1.5,1.38014438483,12.7471504251,13.9984099524,14.2011362919,H,-4.951146288,0.003202426888,9.8499316866,pbe,Spin: 0,6.82980731105,uks,doubles
195,9.8779920816,1.0,0.607407852898,1.5,1.23011765461,13.6125590171,14.1973398823,13.6827389432,H,-4.890781425,0.005480351078,9.8779920816,pbe,Spin: 0,6.33929070343,uks,doubles
197,9.8699719846,1.0,0.827674146215,1.5,1.68967292173,11.9308250855,14.1881935908,14.1147267408,H,-5.09227316,0.003123088026,9.8699719846,pbe,Spin: 0,8.61468236783,uks,doubles
198,9.8852320329,1.0,0.764443925717,1.5,1.67520911105,12.0389802114,14.0189107658,14.4281539426,H,-5.094134406,0.002913059892,9.8852320329,pbe,Spin: 0,8.69334299519,uks,doubles
199,9.8140429744,1.0,0.754599667586,1.5,1.4998783799,12.2214410636,13.7028155123,14.1175986926,H,-4.991181595,0.02112157269,9.8140429744,pbe,Spin: 0,7.82716143694,uks,doubles
200,9.8487864956,1.0,0.768039107742,1.5,1.41904654021,12.4611614663,13.7870752542,14.1584828733,H,-5.032050998,0.003651320721,9.8487864956,pbe,Spin: 0,7.7399684011,uks,doubles
201,9.8830384732,1.0,0.824496859926,1.5,1.25779909037,12.775428388,13.8880097559,14.0713931015,H,-4.976191928,0.004233169287,9.8830384732,pbe,Spin: 0,7.3578217002,uks,doubles
203,9.863537676,1.0,0.728350741499,1.5,1.81117817921,11.9215425512,13.9356270899,14.4139280243,H,-5.067719774,0.001927892312,9.863537676,pbe,Spin: 0,8.61732870602,uks,doubles
204,9.8812593123,1.0,0.667503188765,1.5,1.78296207989,11.8112370362,14.1625620588,14.0869494721,H,-5.082753829,0.003244547911,9.8812593123,pbe,Spin: 0,8.72949525129,uks,doubles
